cpf;nome;codigo;credito
8423552942;ALINE LISBOA;560;4508
10804272956;CAROLINE CÉLIA DOMINGOS;261;1349
75105365968;CRISTINA CARLA DA SILVA BORGES;1247;4819
6471295830;MARCOS VINÍCIUS ALMEIDA;998;3257
3520168947;FERNANDA LOPES DE SOUZA;311;2164
9583047125;JOSÉ HENRIQUE MENDES;1124;4780
10482659731;ANA PAULA RIBEIRO;843;2951
7184305692;THIAGO AUGUSTO MARTINS;672;4235
5297146830;RAFAELA BARBOSA LIMA;150;1076
6328941570;GUSTAVO SILVEIRA COSTA;957;3629
4182653079;PATRÍCIA OLIVEIRA DOS SANTOS;381;1942
9276513084;DIEGO MOREIRA TEIXEIRA;713;4820
8043251976;LUIZA FERNANDES GOMES;402;2459
5932867410;RODRIGO PEREIRA CARVALHO;1275;4985
2857364910;CAMILA SOARES VIEIRA;215;1350
6928741035;FÁBIO JOSÉ LIMA;878;3106
9130574268;BRUNA MENDONÇA PIRES;433;2642
3826495710;GABRIEL HENRIQUE REIS;1056;3728
7053928461;MARIANA CORDEIRO BARROS;299;1984
1482739506;PAULO ROBERTO MORAES;1269;4643
6502984731;ISABELA ARAÚJO SANTANA;501;2874
2786395041;RICARDO LOPES MATTOS;981;4579
8934621705;LETÍCIA DUARTE NOGUEIRA;338;2023
5418726930;RENAN VICTOR FERREIRA;1152;3890
2094873615;LARISSA RAMOS ALMEIDA;778;3446
7630918245;PEDRO LUCAS MORAIS;1220;4752
6172083945;VANESSA CASTRO FREITAS;412;2331
5304982716;BRUNO HENRIQUE SALES;932;3127
3147295860;NATALIA CRUZ VASCONCELOS;688;2805
8592036471;DANIELA BATISTA MOURA;562;2176
4028359671;JULIANO SOUZA COSTA;997;3652
9261837405;AMANDA REZENDE LOPES;257;1435
3580741926;RAFAEL GOMES MONTEIRO;1139;4723
7408295613;JÉSSICA LIMA DOS REIS;332;1869
5298036471;MATEUS HENRIQUE RODRIGUES;876;3281
1839475206;SABRINA VIEIRA CUNHA;624;2938
9702846153;LEONARDO SANTOS GARCIA;1350;4804
6013924785;TATIANA BARROS ROCHA;494;2546
2548736190;VITOR MANOEL FONSECA;859;3750
8350264917;ALANA PEREIRA MACHADO;271;1675
4908731256;MURILO LUCENA COSTA;1035;4119
3672894051;TALITA ANDRADE NASCIMENTO;728;3054
8193057462;RAFAELLA CUNHA BRITO;643;2980
4032675891;LUCAS GABRIEL FARIAS;1119;4649
7820593416;PRISCILA MOURÃO RIBEIRO;256;1567
6537204891;FELIPE AUGUSTO DIAS;1074;3815
2094768315;HELOÍSA FERNANDA TAVARES;530;2417
5128039476;CAIO VINÍCIUS MOREIRA;1211;4733
3049872165;THAÍS GONÇALVES SOUZA;477;2375
7013498256;MURILO HENRIQUE OLIVEIRA;903;3278
9453127806;CARLA PATRÍCIA FONSECA;318;1784
8326597401;ROGÉRIO MENDES DA SILVA;972;3530
5183709426;CLÁUDIA LOPES TEIXEIRA;1280;4864
6024789135;JULIANA DIAS PEREIRA;585;2698
7938204561;VINÍCIUS MATTOS CARDOSO;847;3091
2816397405;LARISSA PEREIRA SOUSA;345;2047
9483716205;GABRIELA CASTRO MOURA;1092;3985
5638720941;MATEUS COSTA PEREIRA;764;3214
6402938571;ANA CLARA VIEIRA LIMA;246;1483
2951847306;EDUARDO HENRIQUE GOMES;1228;4829
9148032765;MÔNICA REZENDE COUTO;408;2391
7364918205;ANDRÉ LUCAS FERNANDES;933;3495
5071839426;KARINA MOREIRA SILVA;377;2056
3092746851;FÁBIO DE OLIVEIRA PINTO;1160;3902
8749203165;NATÁLIA SANTOS CAVALCANTE;658;2781
4520369781;WILLIAN BARBOSA RIBEIRO;880;3429
9305827416;TAYNARA ALMEIDA PEREIRA;532;2208
8127493605;MAURÍCIO HENRIQUE LIMA;1241;4682
6152873049;ROBERTA VIEIRA TELES;473;2563
5082943176;JONAS GABRIEL FERREIRA;812;3120
3479602815;SUZANA MOURA BARROS;217;1498
7294608135;CRISTIANE ARAÚJO LOPES;973;3671
6218943705;JOÃO PAULO VIEIRA;1342;4903
2705381964;DÉBORA GOMES COSTA;421;2468
8961752034;HENRIQUE RODRIGUES SANTANA;787;3334
4327098165;CAROLINA FREITAS MELO;618;2941
9102735648;LUCAS MOURA PEREIRA;1027;4158
5839742160;ADRIANA COSTA MOREIRA;294;1746
3516802947;ALEXANDRE PEREIRA LIMA;1158;3897
6278190435;ISADORA CAMPOS VASQUES;475;2390
9742058136;CAMILO GOMES DE SOUZA;997;3546
2608713945;MARIANE SILVA RIBEIRO;325;1873
8469203751;LEANDRO MARTINS REIS;1193;4381
5304916278;PATRÍCIA FONSECA LOPES;568;2652
2097346815;ANTONIO CARLOS ALVES;1075;3714
6759123048;DÉBORA ALMEIDA NUNES;413;2240
8962735401;WESLEY SOUZA LOPES;952;3584
7032169854;ANA CAROLINA FERREIRA;287;1605
5148320967;MARCELA VIEIRA DA SILVA;842;3086
3609784125;VICTOR HUGO MENDES;1244;4637
8924075163;SILVANA PEREIRA RODRIGUES;569;2425
4085317629;GUILHERME SANTANA GARCIA;1003;3772
9712603845;LUIZ FERNANDO RIBEIRO;691;3028
2537196084;TÂNIA MARA SOUZA;312;1925
6829103745;DIOGO COSTA MENEZES;1285;4951
4907261358;RENATA OLIVEIRA COSTA;444;2108
7395281046;MARCOS ANDRÉ FONSECA;853;3405
1856209437;KAROLINE VASCONCELOS LIMA;218;1426
